"TreeID","Year","first_stage2_date","April_Days","Air_Temp","Air_Temp_Max","Air_Temp_Min","Grass_Temp","Rain_mm_Tot"
27,2018,2018-04-19,18,11.3,15.1,6.7,19,2.9
28,2007,2007-04-12,11,NA,NA,NA,NA,NA
28,2008,2008-04-27,26,NA,NA,NA,NA,NA
28,2009,2009-04-18,17,NA,NA,NA,NA,NA
28,2010,2010-04-27,26,9.7,14.1,1.7,26.2,0.7
28,2011,2011-04-11,10,12.4,18.1,4.8,23.9,0
28,2012,2012-04-10,9,8.1,11.7,2.4,23.8,4
28,2013,2013-05-04,33,8,12.1,2.4,21.8,1.4
28,2015,2015-04-18,17,9.9,15.2,2.6,26.6,0.7
28,2016,2016-04-14,13,8.7,12.4,2.5,22.5,1.4
28,2017,2017-04-10,9,10,14.4,2.2,25.3,0.1
28,2018,2018-04-23,22,11.3,15.1,6.7,19,2.9
28,2021,2021-04-27,26,6.7,13.3,0.1,14.4,0.4
28,2022,2022-04-20,19,8.9,15.4,3.2,12.3,0.7
28,2023,2023-04-28,27,8.8,13.3,2.9,18.2,2.9
28,2024,2024-04-10,9,9.7,13.8,5.6,17.4,1.8
29,2007,2007-04-06,5,NA,NA,NA,NA,NA
29,2008,2008-04-07,6,NA,NA,NA,NA,NA
29,2009,2009-04-06,5,NA,NA,NA,NA,NA
29,2010,2010-04-13,12,9.7,14.1,1.7,26.2,0.7
29,2011,2011-04-07,6,12.4,18.1,4.8,23.9,0
29,2012,2012-04-02,1,8.1,11.7,2.4,23.8,4
29,2013,2013-04-24,23,8,12.1,2.4,21.8,1.4
29,2015,2015-04-15,14,9.9,15.2,2.6,26.6,0.7
29,2016,2016-04-14,13,8.7,12.4,2.5,22.5,1.4
29,2017,2017-04-06,5,10,14.4,2.2,25.3,0.1
29,2018,2018-04-23,22,11.3,15.1,6.7,19,2.9
29,2021,2021-04-15,14,6.7,13.3,0.1,14.4,0.4
29,2022,2022-04-11,10,8.9,15.4,3.2,12.3,0.7
29,2023,2023-04-18,17,8.8,13.3,2.9,18.2,2.9
29,2024,2024-04-18,17,9.7,13.8,5.6,17.4,1.8
30,2007,2007-04-06,5,NA,NA,NA,NA,NA
30,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
30,2012,2012-04-10,9,8.1,11.7,2.4,23.8,4
30,2013,2013-04-26,25,8,12.1,2.4,21.8,1.4
30,2015,2015-04-15,14,9.9,15.2,2.6,26.6,0.7
30,2016,2016-04-18,17,8.7,12.4,2.5,22.5,1.4
30,2017,2017-04-06,5,10,14.4,2.2,25.3,0.1
30,2018,2018-04-20,19,11.3,15.1,6.7,19,2.9
30,2021,2021-04-27,26,6.7,13.3,0.1,14.4,0.4
30,2022,2022-04-11,10,8.9,15.4,3.2,12.3,0.7
30,2023,2023-04-28,27,8.8,13.3,2.9,18.2,2.9
30,2024,2024-04-18,17,9.7,13.8,5.6,17.4,1.8
31,2007,2007-04-14,13,NA,NA,NA,NA,NA
31,2008,2008-04-27,26,NA,NA,NA,NA,NA
31,2009,2009-04-20,19,NA,NA,NA,NA,NA
31,2010,2010-04-29,28,9.7,14.1,1.7,26.2,0.7
31,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
31,2012,2012-04-10,9,8.1,11.7,2.4,23.8,4
31,2013,2013-05-06,35,8,12.1,2.4,21.8,1.4
31,2015,2015-04-24,23,9.9,15.2,2.6,26.6,0.7
31,2016,2016-04-18,17,8.7,12.4,2.5,22.5,1.4
31,2017,2017-04-11,10,10,14.4,2.2,25.3,0.1
31,2018,2018-04-23,22,11.3,15.1,6.7,19,2.9
31,2022,2022-04-20,19,8.9,15.4,3.2,12.3,0.7
31,2023,2023-04-28,27,8.8,13.3,2.9,18.2,2.9
31,2024,2024-04-18,17,9.7,13.8,5.6,17.4,1.8
32,2007,2007-04-12,11,NA,NA,NA,NA,NA
32,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
32,2013,2013-05-02,31,8,12.1,2.4,21.8,1.4
32,2018,2018-04-23,22,11.3,15.1,6.7,19,2.9
32,2021,2021-04-27,26,6.7,13.3,0.1,14.4,0.4
32,2022,2022-04-20,19,8.9,15.4,3.2,12.3,0.7
32,2023,2023-04-28,27,8.8,13.3,2.9,18.2,2.9
32,2024,2024-04-10,9,9.7,13.8,5.6,17.4,1.8
