"date","score"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","1"
"18/04/2015","1"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","3"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","1"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","1"
"18/04/2015","1"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","1"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","1"
"18/04/2015","4"
"18/04/2015","3"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","3"
"18/04/2015","1"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","4"
"18/04/2015","3"
"18/04/2015","3"
"18/04/2015","1"
"18/04/2015","4"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","3"
"18/04/2015","1"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","0"
"18/04/2015","1"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","0"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","4"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","4"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","4"
"19/04/2015","4"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","4"
"19/04/2015","4"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","4"
"19/04/2015","4"
"19/04/2015","4"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","4"
"19/04/2015","4"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","4"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","4"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","4"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","4"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","4"
"19/04/2015","3"
"19/04/2015","0"
"19/04/2015","3"
"19/04/2015","1"
"19/04/2015","4"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","4"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","1"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","2"
"19/04/2015","3"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","2"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","0"
"19/04/2015","4"
"19/04/2015","1"
"19/04/2015","1"
"19/04/2015","3"
