"TreeID","Year","first_stage2_date","Julian_Day"
57,2013,2013-04-26,116
58,2007,2007-04-02,92
58,2011,2011-04-07,97
58,2013,2013-04-26,116
59,2007,2007-04-10,100
59,2011,2011-04-13,103
59,2013,2013-05-02,122
60,2007,2007-04-08,98
60,2011,2011-04-07,97
60,2013,2013-04-30,120
61,2007,2007-04-06,96
61,2008,2008-04-05,96
61,2009,2009-04-12,102
61,2010,2010-04-23,113
61,2011,2011-04-07,97
61,2012,2012-04-10,101
61,2013,2013-04-30,120
61,2015,2015-04-18,108
61,2016,2016-04-14,105
61,2017,2017-04-10,100
61,2018,2018-04-20,110
61,2021,2021-04-27,117
61,2022,2022-04-07,97
61,2023,2023-04-18,108
61,2024,2024-04-08,99
62,2007,2007-04-12,102
62,2011,2011-04-09,99
62,2013,2013-05-02,122
62,2018,2018-04-20,110
62,2021,2021-05-26,146
62,2022,2022-04-11,101
62,2023,2023-04-26,116
62,2024,2024-04-18,109
63,2007,2007-04-12,102
63,2011,2011-04-09,99
63,2013,2013-05-08,128
64,2007,2007-04-14,104
64,2011,2011-04-09,99
64,2013,2013-05-04,124
65,2007,2007-04-12,102
65,2011,2011-04-14,104
65,2013,2013-04-27,117
66,2007,2007-04-12,102
66,2013,2013-05-09,129
67,2007,2007-04-20,110
67,2011,2011-04-12,102
67,2013,2013-05-03,123
67,2023,2023-04-25,115
67,2024,2024-04-10,101
68,2007,2007-04-14,104
68,2011,2011-04-12,102
68,2013,2013-05-07,127
68,2016,2016-04-26,117
68,2017,2017-04-15,105
68,2018,2018-05-12,132
68,2021,2021-04-26,116
68,2022,2022-04-20,110
68,2023,2023-04-25,115
68,2024,2024-04-10,101
69,2007,2007-04-08,98
69,2008,2008-04-05,96
69,2011,2011-04-06,96
69,2013,2013-05-01,121
69,2015,2015-04-19,109
69,2016,2016-04-13,104
69,2017,2017-04-10,100
69,2018,2018-04-25,115
69,2021,2021-04-30,120
69,2022,2022-04-20,110
69,2023,2023-04-25,115
69,2024,2024-04-10,101
70,2007,2007-04-10,100
70,2011,2011-04-06,96
70,2013,2013-04-25,115
71,2007,2007-04-10,100
71,2011,2011-04-10,100
71,2013,2013-04-25,115
71,2018,2018-04-21,111
71,2021,2021-04-26,116
71,2022,2022-04-20,110
71,2023,2023-04-25,115
71,2024,2024-04-10,101
72,2007,2007-04-08,98
72,2011,2011-04-10,100
72,2013,2013-04-25,115
73,2007,2007-04-16,106
73,2011,2011-04-12,102
74,2007,2007-04-08,98
74,2011,2011-04-08,98
74,2013,2013-04-29,119
75,2007,2007-04-06,96
75,2011,2011-04-06,96
75,2013,2013-04-29,119
76,2007,2007-04-10,100
76,2011,2011-04-12,102
76,2013,2013-05-03,123
77,2007,2007-04-08,98
77,2008,2008-04-23,114
77,2011,2011-04-10,100
77,2013,2013-05-03,123
77,2015,2015-04-17,107
77,2016,2016-04-13,104
77,2017,2017-04-10,100
77,2018,2018-04-21,111
77,2021,2021-05-24,144
77,2022,2022-04-20,110
77,2023,2023-04-25,115
77,2024,2024-04-10,101
78,2007,2007-04-06,96
78,2011,2011-04-10,100
78,2013,2013-05-01,121
78,2023,2023-04-25,115
79,2007,2007-04-04,94
79,2011,2011-04-08,98
79,2013,2013-04-25,115
79,2021,2021-04-26,116
79,2022,2022-04-11,101
79,2023,2023-04-25,115
79,2024,2024-04-10,101
80,2007,2007-04-04,94
80,2008,2008-04-11,102
80,2011,2011-04-04,94
80,2013,2013-05-01,121
80,2015,2015-04-17,107
80,2016,2016-04-13,104
80,2017,2017-04-10,100
80,2018,2018-04-17,107
80,2021,2021-04-20,110
80,2022,2022-04-04,94
80,2023,2023-04-17,107
80,2024,2024-04-25,116
81,2007,2007-04-08,98
81,2011,2011-04-08,98
81,2013,2013-04-27,117
82,2007,2007-04-04,94
82,2011,2011-04-08,98
82,2013,2013-04-29,119
82,2018,2018-04-21,111
82,2021,2021-04-26,116
82,2022,2022-04-04,94
82,2023,2023-04-17,107
82,2024,2024-04-10,101
83,2007,2007-04-16,106
83,2008,2008-04-27,118
83,2011,2011-04-16,106
83,2013,2013-05-07,127
83,2015,2015-04-27,117
83,2016,2016-05-06,127
83,2017,2017-04-18,108
83,2018,2018-04-21,111
83,2021,2021-05-24,144
83,2022,2022-04-20,110
83,2024,2024-04-10,101
84,2007,2007-04-02,92
84,2011,2011-04-06,96
84,2013,2013-04-27,117
85,2007,2007-04-12,102
85,2011,2011-04-10,100
85,2013,2013-05-03,123
85,2023,2023-04-25,115
86,2007,2007-04-06,96
86,2011,2011-04-06,96
86,2013,2013-04-25,115
